country,state,city,station,,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Karnataka,Bengaluru,"BTM Layout, Bengaluru - CPCB",,12.9135218,77.5950804,SO2,4,13,9
India,Karnataka,Bengaluru,"BTM Layout, Bengaluru - CPCB",,12.9135218,77.5950804,OZONE,24,25,25
India,Karnataka,Bengaluru,"Bapuji Nagar, Bengaluru - KSPCB",,12.951913,77.539784,PM2.5,33,102,61
India,Karnataka,Bengaluru,"Hebbal, Bengaluru - KSPCB",,13.029152,77.585901,SO2,10,17,13
India,Karnataka,Bengaluru,"Hombegowda Nagar, Bengaluru - KSPCB",,12.938539,77.5901,PM2.5,29,51,36
India,Karnataka,Bengaluru,"Hombegowda Nagar, Bengaluru - KSPCB",,12.938539,77.5901,SO2,6,35,12
India,Gujarat,Vapi,"Phase-1 GIDC, Vapi - GPCB",,20.362421,72.918013,NO2,13,14,14
India,Gujarat,Vapi,"Phase-1 GIDC, Vapi - GPCB",,20.362421,72.918013,SO2,30,40,36
India,Gujarat,Vatva,"Phase-4 GIDC, Vatva - GPCB",,22.969611,72.6435,NO2,30,102,56
India,Haryana,Charkhi Dadri,"Mini Secretariat, Charkhi Dadri - HSPCB",,28.593883,76.270653,SO2,7,24,14
India,Haryana,Faridabad,"Sector 11, Faridabad - HSPCB",,28.376058,77.315741,NH3,6,6,6
India,Karnataka,Chikkamagaluru,"Kalyana Nagara, Chikkamagaluru - KSPCB",,13.328028,75.797056,CO,11,51,21
India,Karnataka,Dharwad,"Kalabhavan, Dharwad - KSPCB",,15.459706,75.008381,PM2.5,42,53,50
India,Karnataka,Dharwad,"Kalabhavan, Dharwad - KSPCB",,15.459706,75.008381,NH3,4,5,4
India,Karnataka,Dharwad,"Kalabhavan, Dharwad - KSPCB",,15.459706,75.008381,SO2,1,3,2
India,Gujarat,Ankleshwar,"GIDC, Ankleshwar - GPCB",,21.613267,73.010555,SO2,45,45,45
India,Gujarat,Gandhinagar,"Sector-10, Gandhinagar - GPCB",,23.221714,72.654328,NH3,NA,NA,NA
India,Gujarat,Gandhinagar,"Sector-10, Gandhinagar - GPCB",,23.221714,72.654328,SO2,NA,NA,NA
India,Madhya Pradesh,Bhopal,"T T Nagar, Bhopal - MPPCB",,23.233584,77.400574,OZONE,62,191,156
India,Madhya Pradesh,Damoh,"Shrivastav Colony, Damoh - MPPCB",,23.81748678,79.446246,PM2.5,8,57,25
India,Madhya Pradesh,Damoh,"Shrivastav Colony, Damoh - MPPCB",,23.81748678,79.446246,PM10,15,62,29
India,Madhya Pradesh,Dewas,"Bhopal Chauraha, Dewas - MPPCB",,22.9682591,76.064118,PM10,47,149,73
India,Madhya Pradesh,Dewas,"Bhopal Chauraha, Dewas - MPPCB",,22.9682591,76.064118,SO2,34,92,70
India,Madhya Pradesh,Gwalior,"City Center, Gwalior - MPPCB",,26.203442,78.193251,PM2.5,15,132,50
